annotation2v2,fraction,feature,normal_mean,fibrotic_mean,fibrotic_minus_normal,inflamed_mean,inflamed_minus_normal
Collagen-hi tissue fibroblast,epi,epithelial_bile_urea_transport_mean,0.0,0.0,0.0,,
Collagen-hi tissue fibroblast,epi,fibrotic_amino_acid_transport_mean,0.15051749348640442,0.06630173325538635,-0.08421576023101807,,
Collagen-hi tissue fibroblast,imu,bile_acid_transport_mean,0.010988296009600163,0.007803952321410179,-0.0031843436881899834,,
Collagen-hi tissue fibroblast,imu,ecm_remodeling_mean,0.921025812625885,1.2892553806304932,0.36822956800460815,,
Collagen-hi tissue fibroblast,imu,epithelial_repair_mean,0.02999860979616642,0.04616950452327728,0.016170894727110863,,
Collagen-hi tissue fibroblast,imu,fatty_acid_metabolism_mean,0.06639521569013596,0.04957464709877968,-0.016820568591356277,,
Collagen-hi tissue fibroblast,imu,glycolysis_mean,0.3265753984451294,0.20689913630485535,-0.11967626214027405,,
Collagen-hi tissue fibroblast,imu,hypoxia_mean,0.2920858860015869,0.20350635051727295,-0.08857953548431396,,
Collagen-hi tissue fibroblast,imu,inflammation_mean,0.3469145596027374,0.14160974323749542,-0.205304816365242,,
Collagen-hi tissue fibroblast,imu,oxidative_phosphorylation_mean,0.2808454930782318,0.17574845254421234,-0.10509704053401947,,
Collagen-hi tissue fibroblast,imu,retinoid_vitamin_a_mean,0.08880363404750824,0.09984837472438812,0.011044740676879883,,
Collagen-hi tissue fibroblast,imu,epithelial_bile_urea_transport_mean,0.002290223026648164,0.0015041643055155873,-0.0007860587211325765,,
Collagen-hi tissue fibroblast,imu,fibrotic_amino_acid_transport_mean,0.07614263892173767,0.0804954394698143,0.00435280054807663,,
Colonocytes-CAECAM-hi,epi,bile_acid_transport_mean,0.08723912388086319,0.031202225014567375,-0.056036898866295815,0.0,-0.08723912388086319
Colonocytes-CAECAM-hi,epi,ecm_remodeling_mean,0.0021058968268334866,0.008569149300456047,0.0064632524736225605,0.0,-0.0021058968268334866
Colonocytes-CAECAM-hi,epi,epithelial_repair_mean,0.396856427192688,0.4185050427913666,0.02164861559867859,0.1726595163345337,-0.2241969108581543
Colonocytes-CAECAM-hi,epi,fatty_acid_metabolism_mean,0.4586253762245178,0.30121561884880066,-0.15740975737571716,0.5506862998008728,0.09206092357635498
Colonocytes-CAECAM-hi,epi,glycolysis_mean,0.22968243062496185,0.17291732132434845,-0.0567651093006134,0.37524479627609253,0.14556236565113068
Colonocytes-CAECAM-hi,epi,hypoxia_mean,0.15773583948612213,0.13626855611801147,-0.021467283368110657,0.26386699080467224,0.10613115131855011
Colonocytes-CAECAM-hi,epi,inflammation_mean,0.01903269998729229,0.07625926285982132,0.05722656287252903,0.07394152879714966,0.05490882880985737
Colonocytes-CAECAM-hi,epi,oxidative_phosphorylation_mean,0.49794018268585205,0.16487549245357513,-0.3330646902322769,0.14609651267528534,-0.3518436700105667
Colonocytes-CAECAM-hi,epi,retinoid_vitamin_a_mean,0.015903934836387634,0.013839262537658215,-0.0020646722987294197,0.0672195702791214,0.051315635442733765
Colonocytes-CAECAM-hi,epi,epithelial_bile_urea_transport_mean,0.11030017584562302,0.08416905999183655,-0.02613111585378647,0.12323588132858276,0.012935705482959747
Colonocytes-CAECAM-hi,epi,fibrotic_amino_acid_transport_mean,0.020176490768790245,0.029737047851085663,0.009560557082295418,0.0,-0.020176490768790245
